Nombre,last_year,rolling_year
aguas industry,8534324440.0,9462864980.0
aguas natural,11058993050,11712749540
alimentos mascotas,7892252390.0,9113285060.0
alimentos infantiles,856518138.3799999,844348622.8599999
aguas saborizadas,3304284900.0,2937389450.0
cereales,7893474100.0,7415054350.0
cereales_infantiles,121974774.915,121864205.064
cafe TyM,750903200.0,803729754.0
chocolates golosina,8467531876.0,9076152977.0
chocolate mesa,813389842.0,920101711.0
condimentos liquidos,839102090,847148480
consome,1665877868.0,1643321218.0
consome mayoreo,998950868.0,1061737088.0
cremadores,946941565,1072655695
leche en polvo,2979696425.0,2867760309.0
MODIFICADORES_RIE,verifique los datos,verifique los datos
leche condensada,2460987976.0,2370911841.0
formulas_infantiles,2505202002.665,2489308125.104
leche evaporada,2297007233.0,2355823890.0
Gums Inf IQVIA,verifique los datos,verifique los datos
soluble,7562543321,8450146415
PORTION_INDUSTRY,verifique los datos,verifique los datos
sustitutos leche,3550800.0,10429465.0
jugos,84326725.0,72924654.0
